filename,clipdet_latent10k_plus_global,clipdet_latent10k_plus_local,clipdet_latent10k_plus_fusiongl,clipdet_latent10k_plus,Corvi2023,clipdet_latent10k_plus_fusion_soft_or,clipdet_latent10k_plus_fusion_w_70G_30L,clipdet_latent10k_plus_fusion_w_50G_50L,clipdet_latent10k_plus_fusion_w_30G_70L,clipdet_latent10k_plus_fusion_max_calibrated,clipdet_latent10k_plus_fusion_dynamic,fusion
DDPM/celebahq_000.png,1.3593721,1.8720187,1.8720187,1.8720187,1.5219882,2.1603816,0.748373,0.74686515,0.74535733,0.7506348,0.74687934,1.8399915
DDPM/celebahq_001.png,-0.42527896,2.127088,2.127088,2.127088,0.9924575,1.540506,-0.018226355,0.23623596,0.49069825,0.87239176,0.38378423,1.9479737
DDPM/celebahq_002.png,0.22483465,0.77909434,0.77909434,0.77909434,-1.9764858,1.2410096,0.07016905,0.104145214,0.13812138,0.18908562,0.11134278,1.151752
DDPM/celebahq_003.png,0.25184748,1.7179439,1.7179439,1.7179439,0.88608307,1.6091938,0.22513212,0.35080698,0.47648183,0.6649941,0.44639575,1.730933
DDPM/celebahq_004.png,0.2611433,1.0097212,1.0097212,1.0097212,1.3048099,1.3398818,0.121626474,0.17430227,0.22697805,0.30599174,0.19154483,1.4178615
DDPM/celebahq_005.png,0.57125974,1.7923629,1.7923629,1.7923629,1.7594303,1.7693774,0.38059545,0.47263032,0.5646652,0.70271754,0.5246556,1.8110447
DDPM/celebahq_006.png,0.67213714,1.8598212,1.8598212,1.8598212,0.77634215,1.8392068,0.43637854,0.5222454,0.6081123,0.73691255,0.5676323,1.7978013
DDPM/celebahq_007.png,0.4624059,1.9310075,1.9310075,1.9310075,-0.21248895,1.7797048,0.35255516,0.4726815,0.5928078,0.7729973,0.56025404,1.7881476
DDPM/celebahq_008.png,0.66964936,2.2192264,2.2192264,2.2192264,-0.08661382,1.9836707,0.48991123,0.6125358,0.73516035,0.9190972,0.7036782,1.9474424
DDPM/celebahq_009.png,0.08361989,2.0366497,2.0366497,2.0366497,1.2830654,1.6758056,0.1976795,0.3773562,0.55703294,0.826548,0.53924906,1.9139241
DDPM/celebahq_010.png,0.8149016,2.2402782,2.2402782,2.2402782,2.1466153,2.054623,0.55866295,0.6646931,0.7707233,0.9297685,0.7333573,2.0634677
DDPM/celebahq_011.png,0.74474335,1.7760323,1.7760323,1.7760323,2.192626,1.8377182,0.45640278,0.5244132,0.59242374,0.6944395,0.5530468,1.8242077
DDPM/celebahq_012.png,0.97150946,2.1839094,2.1839094,2.1839094,2.2130678,2.1010354,0.6207658,0.7008884,0.781011,0.9011948,0.7404829,2.0365324
DDPM/celebahq_013.png,-0.15947902,1.6878188,1.6878188,1.6878188,-0.52521133,1.4432466,0.034925,0.21058169,0.3862384,0.6497235,0.30171382,1.6484685
DDPM/celebahq_014.png,0.31179032,2.4451632,2.4451632,2.4451632,0.14619166,1.9344735,0.36277306,0.5544453,0.74611753,1.033626,0.76796204,2.081983
DDPM/celebahq_015.png,0.11489859,1.1119986,1.1119986,1.1119986,-2.0101273,1.3185724,0.07118179,0.1530832,0.23498464,0.35783678,0.18418497,1.2990712
DDPM/celebahq_016.png,-0.033320397,2.3283205,2.3283205,2.3283205,-0.88703644,1.7577729,0.18926087,0.41358566,0.6379105,0.97439766,0.6331508,1.9711018
DDPM/celebahq_017.png,0.061412722,2.1089215,2.1089215,2.1089215,1.9786536,1.6980256,0.19864823,0.3885153,0.5783824,0.863183,0.56418014,1.9854188
DDPM/celebahq_018.png,0.29054663,2.730585,2.730585,2.730585,-0.7059983,2.0499558,0.39659068,0.6199385,0.8432863,1.178308,0.90290153,2.2052715
DDPM/celebahq_019.png,0.33034083,1.1200131,1.1200131,1.1200131,-0.49319634,1.4095544,0.16962665,0.22456172,0.2794968,0.3618994,0.24330564,1.3763367
DDPM/celebahq_020.png,0.51246226,2.821917,2.821917,2.821917,0.91514266,2.175368,0.51062715,0.7146207,0.91861427,1.2246047,0.95427895,2.3294485
DDPM/celebahq_021.png,0.6437247,1.6589409,1.6589409,1.6589409,1.5148995,1.7479535,0.39300814,0.46217299,0.53133786,0.6350851,0.49177712,1.7322075
DDPM/celebahq_022.png,1.3917599,1.6618106,1.6618106,1.6618106,0.99104905,2.0969083,0.7310224,0.7040274,0.67703235,0.77151495,0.708575,1.7079452
DDPM/celebahq_023.png,0.6294396,3.052721,3.052721,3.052721,-1.8457526,2.323347,0.59851617,0.810826,1.0231359,1.3416007,1.0687681,2.344439
DDPM/celebahq_024.png,1.1887921,1.5303229,1.5303229,1.5303229,2.9244347,1.9489248,0.6194303,0.60527533,0.59112036,0.6406628,0.6065271,1.7404134
DDPM/celebahq_025.png,0.16337308,2.5713055,2.5713055,2.5713055,1.3106567,1.933396,0.31497708,0.5385746,0.76217204,1.0975683,0.8135481,2.2055285
DDPM/celebahq_026.png,0.29730996,2.5941057,2.5941057,2.5941057,-1.3500463,1.9930899,0.37888822,0.5875275,0.7961668,1.1091257,0.83733785,2.0996199
DDPM/celebahq_027.png,0.45153978,2.3111322,2.3111322,2.3111322,2.8248465,1.932288,0.4054577,0.5655226,0.7255875,0.96568483,0.7176194,2.1344216
DDPM/celebahq_028.png,-0.04046157,1.2459836,1.2459836,1.2459836,0.95255363,1.3096814,0.021445237,0.13696219,0.25247914,0.42575458,0.17627037,1.5062767
DDPM/celebahq_029.png,1.4813237,2.2514467,2.2514467,2.2514467,3.8979118,2.36834,0.86110836,0.88234305,0.9035778,0.9354299,0.8851586,2.1554017
DDPM/celebahq_030.png,0.4107431,2.2546914,2.2546914,2.2546914,-0.07858622,1.8923594,0.37846363,0.53806674,0.6976699,0.9370746,0.6893305,1.9670702
DDPM/celebahq_031.png,0.3615186,2.0472274,2.0472274,2.0472274,2.9845042,1.7865819,0.3246999,0.46961704,0.61453414,0.8319099,0.59541667,2.0023308
DDPM/celebahq_032.png,0.033139616,2.0123649,2.0123649,2.0123649,-1.3537459,1.6471262,0.1712054,0.35492897,0.53865254,0.81423783,0.51143366,1.7790642
DDPM/celebahq_033.png,0.9406986,2.4233818,2.4233818,2.4233818,-0.991283,2.1853898,0.64327824,0.7516515,0.8600248,1.0225848,0.8233115,2.019188
DDPM/celebahq_034.png,1.0607233,1.9509882,1.9509882,1.9509882,0.8423722,2.0488997,0.62560594,0.6706116,0.7156172,0.78312564,0.6832178,1.84812
DDPM/celebahq_035.png,0.8354733,2.39284,2.39284,2.39284,1.0454206,2.1265473,0.591147,0.7099916,0.82883614,1.007103,0.79575783,2.0942807
DDPM/celebahq_036.png,0.89933825,1.4609513,1.4609513,1.4609513,0.6323752,1.7866793,0.47825438,0.49438828,0.5105222,0.53472304,0.4960143,1.5919162
DDPM/celebahq_037.png,0.5707606,2.0544271,2.0544271,2.0544271,-0.43772686,1.8746176,0.42022282,0.5388904,0.657558,0.8355595,0.6244086,1.8428885
DDPM/celebahq_038.png,0.5843195,2.957826,2.957826,2.957826,0.71429956,2.2634501,0.5637232,0.77223015,0.9807372,1.2934977,1.0217493,2.398867
