filename,clipdet_latent10k_plus_global,clipdet_latent10k_plus_local,clipdet_latent10k_plus_fusiongl,clipdet_latent10k_plus,Corvi2023,clipdet_latent10k_plus_fusion_soft_or,clipdet_latent10k_plus_fusion_weighted,fusion
test_set\small_test_set\biggan_512\biggan_007_348334.png,-1.3075194,0.8195779,0.8195779,0.8195779,-2.0613742,0.76087403,-0.3765494,1.220665
test_set\small_test_set\biggan_512\biggan_039_718103.png,-1.9169035,1.3908378,1.3908378,1.3908378,-10.347387,0.9118868,-0.49355897,1.2250252
test_set\small_test_set\biggan_512\biggan_072_507313.png,-1.3898386,1.0220045,1.0220045,1.0220045,-7.080592,0.8420204,-0.3659286,1.1004016
test_set\small_test_set\biggan_512\biggan_107_059935.png,-0.066250265,-10.0,-0.066250265,-0.066250265,-8.352034,0.16532384,-2.1754515,0.4562935
test_set\small_test_set\biggan_512\biggan_121_065070.png,0.16415665,1.0278015,1.0278015,1.0278015,-6.96487,1.3811802,0.24103563,1.1095737
test_set\small_test_set\biggan_512\biggan_193_586185.png,-0.5849863,-0.21891299,-0.21891299,-0.21891299,-6.856686,0.5691782,-0.31401253,0.4812432
test_set\small_test_set\biggan_512\biggan_240_374997.png,1.6712055,1.6969934,1.6969934,1.6969934,-2.972348,2.3521967,0.96966517,1.7771223
test_set\small_test_set\biggan_512\biggan_278_031404.png,-2.4024274,1.6403849,1.6403849,1.6403849,-12.919386,0.96060807,-0.6301641,1.327848
test_set\small_test_set\biggan_512\biggan_307_578604.png,-2.9012086,0.26407585,0.26407585,0.26407585,-4.518069,0.060716055,-1.1149645,0.8041272
test_set\small_test_set\biggan_512\biggan_511_625806.png,-0.68883246,1.390655,1.390655,1.390655,-8.612814,1.2534869,-0.014900312,1.2955306
test_set\small_test_set\biggan_512\biggan_538_402332.png,0.0064397156,1.1554008,1.1554008,1.1554008,-6.5419526,1.3802053,0.20647943,1.2154474
test_set\small_test_set\biggan_512\biggan_568_585275.png,1.4053187,1.448968,1.448968,1.448968,-5.566471,2.1100602,0.8136945,1.4706224
test_set\small_test_set\biggan_512\biggan_640_995650.png,-2.2306728,0.8102944,0.8102944,0.8102944,-12.993683,0.50860584,-0.7383496,0.7011119
test_set\small_test_set\biggan_512\biggan_724_809178.png,-0.9934249,1.2454501,1.2454501,1.2454501,-3.458319,1.079258,-0.16426493,1.4215777
test_set\small_test_set\biggan_512\biggan_757_989544.png,0.7075279,1.6811917,1.6811917,1.6811917,-9.629759,1.9225497,0.5906936,1.4830499
test_set\small_test_set\biggan_512\biggan_769_242538.png,-0.28803426,0.59200585,0.59200585,0.59200585,0.78044647,1.0068195,-0.027171938,1.2506814
test_set\small_test_set\biggan_512\biggan_861_680710.png,0.83867466,1.7785399,1.7785399,1.7785399,-6.0123687,2.0274382,0.6623529,1.7084394
test_set\small_test_set\biggan_512\biggan_921_863539.png,-2.2700646,0.8659344,0.8659344,0.8659344,-6.6705894,0.53054893,-0.74196523,1.019004
test_set\small_test_set\biggan_512\biggan_942_051885.png,1.7394421,0.6471748,1.7394421,1.7394421,-3.9582171,1.9264938,0.77476996,1.7660679
test_set\small_test_set\biggan_512\biggan_974_443974.png,-1.9871869,1.362973,1.362973,1.362973,-11.651418,0.8794955,-0.52683413,1.1525297
test_set\small_test_set\dalle3\ann000000010284_00.png,-0.21633038,0.31655777,0.31655777,0.31655777,11.570501,0.9202142,-0.057336833,1.7686712
test_set\small_test_set\dalle3\ann000000029747_00.png,0.3523858,1.0490923,1.0490923,1.0490923,8.308598,1.4671963,0.3188986,1.9235415
test_set\small_test_set\dalle3\ann000000057264_00.png,-0.95558465,0.74272513,0.74272513,0.74272513,14.140363,0.8348469,-0.25558126,2.1103523
test_set\small_test_set\dalle3\ann000000062293_00.png,-1.2518339,0.5358401,0.5358401,0.5358401,25.386913,0.6383005,-0.41470718,2.7337167
test_set\small_test_set\dalle3\ann000000105462_00.png,-0.4348734,0.9751304,0.9751304,0.9751304,16.464876,1.1282893,-0.003576601,2.37111
test_set\small_test_set\dalle3\ann000000118202_00.png,0.097845346,0.5245011,0.5245011,0.5245011,14.3069315,1.1332471,0.10900007,2.0223515
test_set\small_test_set\dalle3\ann000000121497_00.png,-0.07059601,1.503474,1.503474,1.503474,20.372185,1.5271864,0.24988864,2.9262094
test_set\small_test_set\dalle3\ann000000134102_00.png,-0.20306213,0.6579368,0.6579368,0.6579368,8.395766,1.068739,0.019860152,1.7217156
test_set\small_test_set\dalle3\ann000000256511_00.png,-0.6416534,1.3282709,1.3282709,1.3282709,12.089121,1.2357789,-0.009672083,2.3132243
test_set\small_test_set\dalle3\ann000000295641_00.png,-1.824337,-0.36831683,-0.36831683,-0.36831683,14.5437,0.051169425,-0.82862806,1.7528173
test_set\small_test_set\dalle3\ann000000300429_00.png,-0.41017234,0.43070948,0.43070948,0.43070948,14.965623,0.8902893,-0.10881162,2.0251324
test_set\small_test_set\dalle3\ann000000306265_00.png,-0.7144077,0.68273914,0.68273914,0.68273914,11.693169,0.88935643,-0.17422745,1.9319999
test_set\small_test_set\dalle3\ann000000355958_00.png,-1.0811969,0.004165417,0.004165417,0.004165417,12.942561,0.4616596,-0.4603677,1.7482741
test_set\small_test_set\dalle3\ann000000372612_00.png,0.408591,0.6004724,0.6004724,0.6004724,19.158855,1.2955596,0.2461561,2.3601165
test_set\small_test_set\dalle3\ann000000375355_00.png,-0.43673468,0.40029782,0.40029782,0.40029782,13.360858,0.8671961,-0.12558185,1.9125924
