filename,clipdet_latent10k_plus_global,clipdet_latent10k_plus_local,clipdet_latent10k_plus_fusiongl,clipdet_latent10k_plus,Corvi2023,clipdet_latent10k_plus_fusion_soft_or,clipdet_latent10k_plus_fusion_weighted,fusion
test_set\small_test_set\biggan_512\biggan_007_348334.png,-1.3075194,0.81635493,0.81635493,0.81635493,-2.0613742,0.8253743,-0.35014203,1.3029556
test_set\small_test_set\biggan_512\biggan_039_718103.png,-1.9169035,1.3240523,1.3240523,1.3240523,-10.347387,0.9309964,-0.4866737,1.2327831
test_set\small_test_set\biggan_512\biggan_072_507313.png,-1.3898386,0.97737473,0.97737473,0.97737473,-7.080592,0.8819699,-0.35019562,1.1517713
test_set\small_test_set\biggan_512\biggan_107_059935.png,-0.066250265,-10.0,-0.066250265,-0.066250265,-8.352034,0.16593881,-2.01816,0.5659096
test_set\small_test_set\biggan_512\biggan_121_065070.png,0.16415665,1.0389029,1.0389029,1.0389029,-6.96487,1.4412014,0.2677862,1.193949
test_set\small_test_set\biggan_512\biggan_193_586185.png,-0.5849863,-0.57542074,-0.57542074,-0.57542074,-6.856686,0.5182277,-0.34538835,0.46792084
test_set\small_test_set\biggan_512\biggan_240_374997.png,1.6712055,1.6403772,1.6712055,1.6712055,-2.972348,2.364499,0.9748882,1.7825882
test_set\small_test_set\biggan_512\biggan_278_031404.png,-2.4024274,1.6268003,1.6268003,1.6268003,-12.919386,1.003028,-0.61569875,1.3484602
test_set\small_test_set\biggan_512\biggan_307_578604.png,-2.9012086,0.21692759,0.21692759,0.21692759,-4.518069,0.123899706,-1.0906088,0.8850565
test_set\small_test_set\biggan_512\biggan_511_625806.png,-0.68883246,1.4096074,1.4096074,1.4096074,-8.612814,1.3148804,0.009044275,1.3604338
test_set\small_test_set\biggan_512\biggan_538_402332.png,0.0064397156,1.0539454,1.0539454,1.0539454,-6.5419526,1.3867171,0.20930141,1.2221878
test_set\small_test_set\biggan_512\biggan_568_585275.png,1.4053187,1.4562298,1.4562298,1.4562298,-5.566471,2.1577032,0.83461136,1.5214187
test_set\small_test_set\biggan_512\biggan_640_995650.png,-2.2306728,0.8295208,0.8295208,0.8295208,-12.993683,0.59083056,-0.70736426,0.8096233
test_set\small_test_set\biggan_512\biggan_724_809178.png,-0.9934249,1.2506622,1.2506622,1.2506622,-3.458319,1.1380197,-0.14130595,1.4856346
test_set\small_test_set\biggan_512\biggan_757_989544.png,0.7075279,1.7257417,1.7257417,1.7257417,-9.629759,1.9858015,0.61623335,1.5408175
test_set\small_test_set\biggan_512\biggan_769_242538.png,-0.28803426,0.51163816,0.51163816,0.51163816,0.78044647,1.0355566,-0.013372673,1.3019328
test_set\small_test_set\biggan_512\biggan_861_680710.png,0.83867466,1.7288707,1.7288707,1.7288707,-6.0123687,2.041401,0.6679763,1.688856
test_set\small_test_set\biggan_512\biggan_921_863539.png,-2.2700646,0.8659344,0.8659344,0.8659344,-6.6705894,0.6015239,-0.71547467,1.1054802
test_set\small_test_set\biggan_512\biggan_942_051885.png,1.7394421,0.5551916,1.7394421,1.7394421,-3.9582171,1.9458047,0.7855942,1.7852545
test_set\small_test_set\biggan_512\biggan_974_443974.png,-1.9871869,1.2623749,1.2623749,1.2623749,-11.651418,0.8808659,-0.52634025,1.1403027
test_set\small_test_set\dalle3\ann000000010284_00.png,-0.21633038,0.3175343,0.3175343,0.3175343,11.570501,0.98476255,-0.02403878,1.8520766
test_set\small_test_set\dalle3\ann000000029747_00.png,0.3523858,1.0301895,1.0301895,1.0301895,8.308598,1.512661,0.33942372,1.9799147
test_set\small_test_set\dalle3\ann000000057264_00.png,-0.95558465,0.7466453,0.7466453,0.7466453,14.140363,0.90178865,-0.22682765,2.1872253
test_set\small_test_set\dalle3\ann000000062293_00.png,-1.2518339,0.33506358,0.33506358,0.33506358,25.386913,0.6169778,-0.42418656,2.7344103
test_set\small_test_set\dalle3\ann000000105462_00.png,-0.4348734,0.87815773,0.87815773,0.87815773,16.464876,1.1418506,0.002307251,2.3907223
test_set\small_test_set\dalle3\ann000000118202_00.png,0.097845346,0.11350581,0.11350581,0.11350581,14.3069315,1.0371827,0.05783522,1.950182
test_set\small_test_set\dalle3\ann000000121497_00.png,-0.07059601,1.5059464,1.5059464,1.5059464,20.372185,1.5755026,0.26919654,2.9634027
test_set\small_test_set\dalle3\ann000000134102_00.png,-0.20306213,0.6567887,0.6567887,0.6567887,8.395766,1.1297243,0.0486261,1.801816
test_set\small_test_set\dalle3\ann000000256511_00.png,-0.6416534,1.3603724,1.3603724,1.3603724,12.089121,1.3049438,0.017639436,2.380763
test_set\small_test_set\dalle3\ann000000295641_00.png,-1.824337,-0.7424475,-0.7424475,-0.7424475,14.5437,-0.011220104,-0.8617114,1.7450706
test_set\small_test_set\dalle3\ann000000300429_00.png,-0.41017234,0.41080725,0.41080725,0.41080725,14.965623,0.94689065,-0.08104142,2.097581
test_set\small_test_set\dalle3\ann000000306265_00.png,-0.7144077,0.4355581,0.4355581,0.4355581,11.693169,0.8446629,-0.19470708,1.9053326
test_set\small_test_set\dalle3\ann000000355958_00.png,-1.0811969,-0.29587537,-0.29587537,-0.29587537,12.942561,0.4183987,-0.48319507,1.7430234
test_set\small_test_set\dalle3\ann000000372612_00.png,0.408591,0.6014053,0.6014053,0.6014053,19.158855,1.3544794,0.2760278,2.4364712
test_set\small_test_set\dalle3\ann000000375355_00.png,-0.43673468,0.25230703,0.25230703,0.25230703,13.360858,0.8724872,-0.122928135,1.9387786
test_set\small_test_set\dalle3\ann000000388247_00.png,-1.0693417,0.40227583,0.40227583,0.40227583,14.814454,0.70697904,-0.33968025,2.0848875
test_set\small_test_set\dalle3\ann000000431926_00.png,0.65440595,1.0958028,1.0958028,1.0958028,18.22028,1.6669614,0.47020343,2.606054
test_set\small_test_set\dalle3\ann000000454885_00.png,-0.19705445,1.9827842,1.9827842,1.9827842,11.253327,1.7798693,0.31476808,2.7245378
test_set\small_test_set\dalle3\ann000000463688_00.png,0.4053209,1.3426603,1.3426603,1.3426603,10.68981,1.6776311,0.42222214,2.2893295
