filename,clipdet_latent10k_plus_global,clipdet_latent10k_plus_local,clipdet_latent10k_plus_fusiongl,clipdet_latent10k_plus,Corvi2023,clipdet_latent10k_plus_fusion_soft_or,clipdet_latent10k_plus_fusion_weighted,fusion
test_set\small_test_set\biggan_512\biggan_007_348334.png,-1.3075194,1.217274,1.217274,1.217274,-2.0613742,0.75064975,-0.3807938,1.2387395
test_set\small_test_set\biggan_512\biggan_039_718103.png,-1.9169035,1.9630947,1.9630947,1.9630947,-10.347387,0.9818443,-0.4684782,1.3852048
test_set\small_test_set\biggan_512\biggan_072_507313.png,-1.3898386,1.4874727,1.4874727,1.4874727,-7.080592,0.8605853,-0.35859284,1.1667231
test_set\small_test_set\biggan_512\biggan_107_059935.png,-0.066250265,-10.0,-0.066250265,-0.066250265,-8.352034,0.16540062,-2.1507394,0.32653207
test_set\small_test_set\biggan_512\biggan_121_065070.png,0.16415665,1.3019972,1.3019972,1.3019972,-6.96487,1.3135219,0.20988233,1.0489662
test_set\small_test_set\biggan_512\biggan_193_586185.png,-0.5849863,0.17021617,0.17021617,0.17021617,-6.856686,0.5766817,-0.3095293,0.4901709
test_set\small_test_set\biggan_512\biggan_240_374997.png,1.6712055,2.3878891,2.3878891,2.3878891,-2.972348,2.4622674,1.0155026,2.036898
test_set\small_test_set\biggan_512\biggan_278_031404.png,-2.4024274,2.2719731,2.2719731,2.2719731,-12.919386,1.0621493,-0.5956732,1.5500482
test_set\small_test_set\biggan_512\biggan_307_578604.png,-2.9012086,0.438965,0.438965,0.438965,-4.518069,-0.049011484,-1.1583862,0.7227004
test_set\small_test_set\biggan_512\biggan_511_625806.png,-0.68883246,1.7203648,1.7203648,1.7203648,-8.612814,1.1939815,-0.038550526,1.2667917
test_set\small_test_set\biggan_512\biggan_538_402332.png,0.0064397156,1.4531856,1.4531856,1.4531856,-6.5419526,1.3173032,0.17878184,1.1679797
test_set\small_test_set\biggan_512\biggan_568_585275.png,1.4053187,1.7072141,1.7072141,1.7072141,-5.566471,2.0249662,0.775099,1.3898921
test_set\small_test_set\biggan_512\biggan_640_995650.png,-2.2306728,1.1041629,1.1041629,1.1041629,-12.993683,0.44352886,-0.7633617,0.6535641
test_set\small_test_set\biggan_512\biggan_724_809178.png,-0.9934249,1.7341225,1.7341225,1.7341225,-3.458319,1.1040839,-0.1545152,1.5065432
test_set\small_test_set\biggan_512\biggan_757_989544.png,0.7075279,2.3613944,2.3613944,2.3613944,-9.629759,2.0319803,0.6345416,1.7436019
test_set\small_test_set\biggan_512\biggan_769_242538.png,-0.28803426,0.88661957,0.88661957,0.88661957,0.78044647,0.9607016,-0.04983802,1.2156632
test_set\small_test_set\biggan_512\biggan_861_680710.png,0.83867466,2.0315588,2.0315588,2.0315588,-6.0123687,1.9230231,0.6193911,1.6157527
test_set\small_test_set\biggan_512\biggan_921_863539.png,-2.2700646,0.8659344,0.8659344,0.8659344,-6.6705894,0.31262308,-0.82658154,0.8076419
test_set\small_test_set\biggan_512\biggan_942_051885.png,1.7394421,1.1778562,1.7394421,1.7394421,-3.9582171,1.9701324,0.79897976,1.4869422
test_set\small_test_set\biggan_512\biggan_974_443974.png,-1.9871869,1.966121,1.966121,1.966121,-11.651418,0.9678159,-0.4952663,1.3384845
test_set\small_test_set\dalle3\ann000000010284_00.png,-0.21633038,0.47869447,0.47869447,0.47869447,11.570501,0.8351164,-0.103848904,1.6965272
test_set\small_test_set\dalle3\ann000000029747_00.png,0.3523858,1.7364485,1.7364485,1.7364485,8.308598,1.5835538,0.37054378,2.1213052
test_set\small_test_set\dalle3\ann000000057264_00.png,-0.95558465,1.0430948,1.0430948,1.0430948,14.140363,0.7826573,-0.2786073,2.07939
test_set\small_test_set\dalle3\ann000000062293_00.png,-1.2518339,0.9998816,0.9998816,0.9998816,25.386913,0.66546947,-0.40276653,2.7741227
test_set\small_test_set\dalle3\ann000000105462_00.png,-0.4348734,1.5020572,1.5020572,1.5020572,16.464876,1.1750836,0.016579092,2.4592485
test_set\small_test_set\dalle3\ann000000118202_00.png,0.097845346,1.1091864,1.1091864,1.1091864,14.3069315,1.205684,0.14529471,2.1206594
test_set\small_test_set\dalle3\ann000000121497_00.png,-0.07059601,1.9787416,1.9787416,1.9787416,20.372185,1.5382789,0.25434893,2.997371
test_set\small_test_set\dalle3\ann000000134102_00.png,-0.20306213,0.9476286,0.9476286,0.9476286,8.395766,1.0188609,-0.004458215,1.6859808
test_set\small_test_set\dalle3\ann000000256511_00.png,-0.6416534,1.953187,1.953187,1.953187,12.089121,1.3280094,0.026618578,2.4837093
test_set\small_test_set\dalle3\ann000000295641_00.png,-1.824337,0.068680406,0.068680406,0.068680406,14.5437,0.08162716,-0.8130239,1.7698679
test_set\small_test_set\dalle3\ann000000300429_00.png,-0.41017234,0.72414684,0.72414684,0.72414684,14.965623,0.8483058,-0.13009116,1.9971834
test_set\small_test_set\dalle3\ann000000306265_00.png,-0.7144077,1.3805926,1.3805926,1.3805926,11.693169,1.0201921,-0.11678706,2.1021507
test_set\small_test_set\dalle3\ann000000355958_00.png,-1.0811969,0.6155479,0.6155479,0.6155479,12.942561,0.55493927,-0.41347367,1.8298948
test_set\small_test_set\dalle3\ann000000372612_00.png,0.408591,0.72675025,0.72675025,0.72675025,19.158855,1.190616,0.18958262,2.264735
test_set\small_test_set\dalle3\ann000000375355_00.png,-0.43673468,0.89958453,0.89958453,0.89958453,13.360858,0.90832376,-0.10519591,1.9674675
test_set\small_test_set\dalle3\ann000000388247_00.png,-1.0693417,1.2725955,1.2725955,1.2725955,14.814454,0.8515538,-0.2768378,2.2331264
test_set\small_test_set\dalle3\ann000000431926_00.png,0.65440595,1.6546888,1.6546888,1.6546888,18.22028,1.6706122,0.47184277,2.6568577
test_set\small_test_set\dalle3\ann000000454885_00.png,-0.19705445,2.5494807,2.5494807,2.5494807,11.253327,1.793371,0.31972948,2.8864424
test_set\small_test_set\dalle3\ann000000463688_00.png,0.4053209,1.6446085,1.6446085,1.6446085,10.68981,1.5627277,0.37272507,2.1989846
test_set\small_test_set\dalle3\ann000000465544_00.png,0.056627363,1.2205615,1.2205615,1.2205615,20.895533,1.2354984,0.15160571,2.5866277
test_set\small_test_set\DiffusionProjectedGan\seed0252.png,1.376235,2.3544981,2.3544981,2.3544981,0.649291,2.3129408,0.89381534,2.1763153
test_set\small_test_set\DiffusionProjectedGan\seed0518.png,1.878819,3.4325428,3.4325428,3.4325428,-8.864751,3.1119006,1.3063225,2.749391
test_set\small_test_set\DiffusionProjectedGan\seed0577.png,2.1521804,2.0232806,2.1521804,2.1521804,-3.30737,2.5164247,1.1297271,1.8299388
test_set\small_test_set\DiffusionProjectedGan\seed1219.png,3.0341208,2.5317345,3.0341208,3.0341208,0.44909406,3.190094,1.5756631,2.7522638
test_set\small_test_set\DiffusionProjectedGan\seed1420.png,1.4267437,2.5422127,2.5422127,2.5422127,-2.7235162,2.4296877,0.9512193,2.1780255
test_set\small_test_set\DiffusionProjectedGan\seed1581.png,1.2892983,1.8493431,1.8493431,1.8493431,3.1508856,2.035031,0.75843143,1.9172394
test_set\small_test_set\DiffusionProjectedGan\seed3198.png,1.4888096,1.7697694,1.7697694,1.7697694,-2.7929845,2.090614,0.8202121,1.563585
test_set\small_test_set\DiffusionProjectedGan\seed3431.png,2.7763534,3.1118119,3.1118119,3.1118119,-5.9035134,3.3591633,1.5917362,2.5557027
test_set\small_test_set\DiffusionProjectedGan\seed3483.png,1.7637355,2.657135,2.657135,2.657135,-12.104193,2.6400506,1.1056676,1.9179715
test_set\small_test_set\DiffusionProjectedGan\seed3497.png,1.8827882,1.7754467,1.8827882,1.8827882,-0.82674587,2.27799,0.97492397,1.740171
test_set\small_test_set\DiffusionProjectedGan\seed3745.png,1.4960111,1.9075594,1.9075594,1.9075594,-3.2200603,2.1551874,0.8507042,1.6447551
test_set\small_test_set\DiffusionProjectedGan\seed3770.png,1.7953544,2.349492,2.349492,2.349492,2.281779,2.5005796,1.0561805,2.2517202
test_set\small_test_set\DiffusionProjectedGan\seed6291.png,1.6988444,2.504518,2.504518,2.504518,-2.9487457,2.5329046,1.0497093,2.1360538
test_set\small_test_set\DiffusionProjectedGan\seed6555.png,2.3055563,2.7602172,2.7602172,2.7602172,-3.2641082,2.9463973,1.3375785,2.3441784
test_set\small_test_set\DiffusionProjectedGan\seed6637.png,1.3687894,2.3612957,2.3612957,2.3612957,-5.913921,2.31301,0.89227885,1.889001
test_set\small_test_set\DiffusionProjectedGan\seed7004.png,2.0268297,2.0471478,2.0471478,2.0471478,0.4334962,2.467028,1.0856614,1.9242272
test_set\small_test_set\DiffusionProjectedGan\seed9643.png,1.2679448,1.7303596,1.7303596,1.7303596,-8.573105,1.9724991,0.72620165,1.2759215
test_set\small_test_set\DiffusionProjectedGan\seed10305.png,2.0299048,1.5692729,2.0299048,2.0299048,-0.045141846,2.2626848,0.9908448,1.887771
test_set\small_test_set\DiffusionProjectedGan\seed11176.png,2.3457193,1.1900661,2.3457193,2.3457193,-7.3666067,2.2740119,1.0377574,1.8171059
test_set\small_test_set\DiffusionProjectedGan\seed11824.png,1.5774039,1.992769,1.992769,1.992769,0.3822099,2.2313216,0.8995511,1.8807546
test_set\small_test_set\progan_lsun\airplane_00820.png,1.8130507,2.4994237,2.4994237,2.4994237,-10.682555,2.5827577,1.093203,1.8256586
test_set\small_test_set\progan_lsun\bicycle_06930.png,1.550353,2.4436529,2.4436529,2.4436529,-4.816137,2.435107,0.9795989,2.0042877
test_set\small_test_set\progan_lsun\bird_05454.png,2.4854262,1.793968,2.4854262,2.4854262,-3.1739907,2.5797231,1.2135513,2.1100144
test_set\small_test_set\progan_lsun\bottle_02976.png,0.79024434,1.4113784,1.4113784,1.4113784,-13.805583,1.6234609,0.47590584,0.83109367
