auc,biggan,dalle3,diffusionprojectedGAN,proGAN,stable_diffusion_1,AVG
clipdet_latent10k_plus_global,0.6643749999999999,0.7606249999999999,0.979375,0.9725,0.7899999999999999,0.833375
clipdet_latent10k_plus_local,0.7278125,0.5237499999999999,0.93375,0.9168749999999999,0.63,0.7464374999999999
clipdet_latent10k_plus_fusiongl,0.7625,0.6124999999999999,0.94875,0.951875,0.684375,0.792
clipdet_latent10k_plus,0.7625,0.6124999999999999,0.94875,0.951875,0.684375,0.792
Corvi2023,0.8912500000000001,1.0,0.9568749999999999,0.68625,1.0,0.906875
clipdet_latent10k_plus_fusion_soft_or,0.7206250000000001,0.661875,0.97,0.96375,0.72125,0.8074999999999999
clipdet_latent10k_plus_fusion_w_70G_30L,0.671875,0.713125,0.975,0.9681249999999999,0.755,0.8166249999999999
clipdet_latent10k_plus_fusion_w_50G_50L,0.6856249999999999,0.6637500000000001,0.97,0.9625,0.723125,0.8009999999999999
clipdet_latent10k_plus_fusion_w_30G_70L,0.70875,0.611875,0.9606250000000001,0.95,0.6856249999999999,0.783375
clipdet_latent10k_plus_fusion_max_calibrated,0.7643749999999999,0.6543749999999999,0.9668749999999999,0.965625,0.708125,0.8118749999999999
clipdet_latent10k_plus_fusion_dynamic,0.669375,0.666875,0.9662499999999999,0.9656250000000001,0.72,0.797625
fusion,0.856875,0.99125,0.990625,0.9593749999999999,0.9924999999999999,0.9581249999999999
