acc,biggan,dalle3,diffusionprojectedGAN,proGAN,stable_diffusion_1,AVG
clipdet_latent10k_plus_global,0.575,0.55,0.9,0.9,0.625,0.71
clipdet_latent10k_plus_local,0.71875,0.44375,0.84375,0.84375,0.59375,0.68875
clipdet_latent10k_plus_fusiongl,0.7,0.55,0.825,0.825,0.65,0.7100000000000001
clipdet_latent10k_plus,0.7,0.55,0.825,0.825,0.65,0.7100000000000001
Corvi2023,0.525,1.0,0.65,0.5,1.0,0.735
clipdet_latent10k_plus_fusion_soft_or,0.675,0.6499999999999999,0.675,0.675,0.675,0.6699999999999999
clipdet_latent10k_plus_fusion_w_70G_30L,0.61875,0.56875,0.89375,0.89375,0.64375,0.7237499999999999
clipdet_latent10k_plus_fusion_w_50G_50L,0.6125,0.5125,0.8875,0.8875,0.6375,0.7075000000000001
clipdet_latent10k_plus_fusion_w_30G_70L,0.66875,0.49375,0.86875,0.86875,0.59375,0.69875
clipdet_latent10k_plus_fusion_max_calibrated,0.7250000000000001,0.6000000000000001,0.825,0.825,0.65,0.7250000000000001
clipdet_latent10k_plus_fusion_dynamic,0.6125,0.5125,0.8875,0.8875,0.6375,0.7075000000000001
fusion,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625
