filename,clipdet_latent10k_plus_global,clipdet_latent10k_plus_local,clipdet_latent10k_plus_fusiongl,clipdet_latent10k_plus,Corvi2023,clipdet_latent10k_plus_fusion_soft_or,clipdet_latent10k_plus_fusion_w_70G_30L,clipdet_latent10k_plus_fusion_w_50G_50L,clipdet_latent10k_plus_fusion_w_30G_70L,clipdet_latent10k_plus_fusion_max_calibrated,clipdet_latent10k_plus_fusion_dynamic,fusion
test_set\small_test_set\biggan_512\biggan_007_348334.png,-1.3075194,0.30381057,0.30381057,0.30381057,-2.0613742,0.87530893,-0.33010554,-0.19899526,-0.06788499,0.12878042,-0.26337355,1.3418658
test_set\small_test_set\biggan_512\biggan_039_718103.png,-1.9169035,0.26566318,0.26566318,0.26566318,-10.347387,0.6957163,-0.573504,-0.378435,-0.18336603,0.109237425,-0.55465424,0.93908936
test_set\small_test_set\biggan_512\biggan_072_507313.png,-1.3898386,0.15290001,0.15290001,0.15290001,-7.080592,0.7933132,-0.38538677,-0.26057094,-0.13575512,0.0514686,-0.3400878,1.0406468
test_set\small_test_set\biggan_512\biggan_107_059935.png,-0.066250265,-10.0,-0.066250265,-0.066250265,-8.352034,0.17509502,-1.4298636,-2.4927268,-3.5555902,0.16443156,-5.113799,0.8990389
test_set\small_test_set\biggan_512\biggan_121_065070.png,0.16415665,0.59132755,0.59132755,0.59132755,-6.96487,1.4870887,0.2877366,0.284405,0.28107342,0.29273397,0.28447437,1.22155
test_set\small_test_set\biggan_512\biggan_193_586185.png,-0.5849863,-1.2374401,-0.5849863,-0.5849863,-6.856686,0.61812747,-0.2853409,-0.39261657,-0.49989223,-0.12442738,-0.46286577,0.7935795
test_set\small_test_set\biggan_512\biggan_240_374997.png,1.6712055,1.9650245,1.9650245,1.9650245,-2.972348,2.6410837,1.0863026,1.0558802,1.0254577,1.1319363,1.0616536,2.029365
test_set\small_test_set\biggan_512\biggan_278_031404.png,-2.4024274,-0.6162975,-0.6162975,-0.6162975,-12.919386,0.23010069,-0.89830834,-0.7395326,-0.5807567,-0.342593,-0.88930863,0.49393034
test_set\small_test_set\biggan_512\biggan_307_578604.png,-2.9012086,-0.089522555,-0.089522555,-0.089522555,-4.518069,0.3357822,-1.011771,-0.7434721,-0.4751733,-0.07272503,-1.1361752,1.0758978
test_set\small_test_set\biggan_512\biggan_511_625806.png,-0.68883246,1.1609828,1.1609828,1.1609828,-8.612814,1.4032859,0.042795554,0.19282874,0.34286195,0.56791174,0.26427218,1.403185
